"","Observed","Shannon","Simpson","InvSimpson","Sample","ShortID","Index","Dilution","SampleGroup_letter","OriginalSample","LIbraryType","Kit","InputDNA","SampleGroup","Raw_reads","AMR_hits","Type"
"A_B1",295,4.5633621693093,0.970167833356247,33.5208639701472,"A_B1","A_B1","A01","1:3 dilution","B","BFe2","XT","XT","200ng","Bovine fecal",27090865,1002553,"TE"
"A_B20",326,4.37348838937379,0.960480903315133,25.3042221074583,"A_B20","A_B20","D03","Standard","B","BFe39","XT_HS","XT HS","400ng","Bovine fecal",32881197,924150,"TE"
"A_B21",292,4.55572546000567,0.971520666013126,35.1131806825577,"A_B21","A_B21","C01","Standard","B","BFe2","XT_HS","XT HS","800ng","Bovine fecal",31522417,1066895,"TE"
"A_B22",298,4.50175636631694,0.968581601073389,31.8284837599733,"A_B22","A_B22","D01","Standard","B","BFe11","XT_HS","XT HS","800ng","Bovine fecal",28363056,1018421,"TE"
"A_B23",318,4.59371419621906,0.971345156795143,34.8981145299202,"A_B23","A_B23","E01","Standard","B","BFe13","XT_HS","XT HS","800ng","Bovine fecal",30108853,1049931,"TE"
"A_B24",336,4.40872892016115,0.962562162281165,26.7109443528815,"A_B24","A_B24","F01","Standard","B","BFe39","XT_HS","XT HS","800ng","Bovine fecal",35151561,955592,"TE"
"A_B2",334,4.48910383275812,0.966581148216583,29.9232303515654,"A_B2","A_B2","B01","1:3 dilution","B","BFe11","XT","XT","200ng","Bovine fecal",31932787,1012324,"TE"
"A_B3",334,4.58196111085372,0.970063544970221,33.4040887274486,"A_B3","A_B3","D01","1:3 dilution","B","BFe13","XT","XT","200ng","Bovine fecal",31578558,1071141,"TE"
"A_B4",341,4.25016913909233,0.954422982208726,21.940882674238,"A_B4","A_B4","E01","1:3 dilution","B","BFe39","XT","XT","200ng","Bovine fecal",31640757,848448,"TE"
"A_B5",297,4.58371958911115,0.971210313996342,34.7346615684841,"A_B5","A_B5","B04","1:2 dilution","B","BFe2","XT","XT","400ng","Bovine fecal",28581576,1034302,"TE"
"A_B6",346,4.54899821568609,0.969522770708061,32.8113815865963,"A_B6","A_B6","C04","1:2 dilution","B","BFe11","XT","XT","400ng","Bovine fecal",36674449,1101811,"TE"
"A_B7",327,4.58833837790443,0.970012238554089,33.3469372765183,"A_B7","A_B7","E04","1:2 dilution","B","BFe13","XT","XT","400ng","Bovine fecal",33227452,925487,"TE"
"A_B9",313,4.61017584787486,0.972683638969015,36.6080972083247,"A_B9","A_B9","A08","1:2 dilution","B","BFe2","XT","XT","800ng","Bovine fecal",32111524,1112223,"TE"
"A_H10",487,4.23207062122434,0.966939227145738,30.247326776303,"A_H10","A_H10","H09","Standard","H","HBHw2","XT","XT","800ng","Human wastewater",34134092,671110,"TE"
"A_H11",462,4.22672758053539,0.967901290239976,31.1539001871474,"A_H11","A_H11","A10","1:2 dilution","H","HBHw3","XT","XT","800ng","Human wastewater",28235044,604786,"TE"
"A_H12",480,4.24478921427037,0.967535684781248,30.8030523133406,"A_H12","A_H12","D10","1:2 dilution","H","HBHw4","XT","XT","800ng","Human wastewater",31681516,667695,"TE"
"A_H13",422,4.08784183773427,0.964420313512427,28.1059250015956,"A_H13","A_H13","E02","Standard","H","HBHw1","XT_HS","XT HS","200ng","Human wastewater",30233923,577049,"TE"
"A_H14",423,4.0741579512905,0.964377822742922,28.0723997520761,"A_H14","A_H14","F02","Standard","H","HBHw2","XT_HS","XT HS","200ng","Human wastewater",24398193,545543,"TE"
"A_H15",403,4.08242996530569,0.96553975442145,29.0189458377645,"A_H15","A_H15","G02","Standard","H","HBHw3","XT_HS","XT HS","200ng","Human wastewater",22219435,488334,"TE"
"A_H16",415,4.07510087465943,0.964381898651104,28.0756121783286,"A_H16","A_H16","H02","Standard","H","HBHw4","XT_HS","XT HS","200ng","Human wastewater",26480651,534847,"TE"
"A_H17",419,4.04336966664169,0.96282626835755,26.9007160652674,"A_H17","A_H17","G04","Standard","H","HBHw1","XT_HS","XT HS","400ng","Human wastewater",29241158,605189,"TE"
"A_H18",424,4.07103265410103,0.963101382275123,27.1012862177169,"A_H18","A_H18","H04","Standard","H","HBHw2","XT_HS","XT HS","400ng","Human wastewater",31705686,646598,"TE"
"A_H19",406,4.07099764966108,0.963681344603454,27.5340589865312,"A_H19","A_H19","A01","Standard","H","HBHw3","XT_HS","XT HS","400ng","Human wastewater",24512331,553009,"TE"
"A_H1",434,4.15879025101158,0.966756515251843,30.0810822805045,"A_H1","A_H1","A03","Standard","H","HBHw1","XT","XT","200ng","Human wastewater",31016217,532218,"TE"
"A_H20",409,4.11252415884802,0.964723751574428,28.3476856137314,"A_H20","A_H20","B01","Standard","H","HBHw4","XT_HS","XT HS","400ng","Human wastewater",26674893,576113,"TE"
