SampleID,Sample,ShortID,Index,Dilution,SampleGroup_letter,OriginalSample,LIbraryType,Kit,InputDNA,SampleGroup,Raw_reads,AMR_hits,Type
A_H12,A_H12,A_H12,D10,1:2 dilution,H,HBHw4,XT,XT,800ng,Human wastewater,31681516,667695,TE
A_H13,A_H13,A_H13,E02,Standard,H,HBHw1,XT_HS,XT HS,200ng,Human wastewater,30233923,577049,TE
A_H14,A_H14,A_H14,F02,Standard,H,HBHw2,XT_HS,XT HS,200ng,Human wastewater,24398193,545543,TE
A_H15,A_H15,A_H15,G02,Standard,H,HBHw3,XT_HS,XT HS,200ng,Human wastewater,22219435,488334,TE
A_H16,A_H16,A_H16,H02,Standard,H,HBHw4,XT_HS,XT HS,200ng,Human wastewater,26480651,534847,TE
A_H17,A_H17,A_H17,G04,Standard,H,HBHw1,XT_HS,XT HS,400ng,Human wastewater,29241158,605189,TE
A_H18,A_H18,A_H18,H04,Standard,H,HBHw2,XT_HS,XT HS,400ng,Human wastewater,31705686,646598,TE
A_H19,A_H19,A_H19,A01,Standard,H,HBHw3,XT_HS,XT HS,400ng,Human wastewater,24512331,553009,TE
A_H2,A_H2,A_H2,B03,Standard,H,HBHw2,XT,XT,200ng,Human wastewater,31603031,450470,TE
A_H20,A_H20,A_H20,B01,Standard,H,HBHw4,XT_HS,XT HS,400ng,Human wastewater,26674893,576113,TE
A_H21,A_H21,A_H21,G02,Standard,H,HBHw1,XT_HS,XT HS,800ng,Human wastewater,26384858,571726,TE
A_H22,A_H22,A_H22,H02,Standard,H,HBHw2,XT_HS,XT HS,800ng,Human wastewater,22794458,569493,TE
A_H23,A_H23,A_H23,A03,Standard,H,HBHw3,XT_HS,XT HS,800ng,Human wastewater,24321730,584264,TE
A_H24,A_H24,A_H24,B03,Standard,H,HBHw4,XT_HS,XT HS,800ng,Human wastewater,25831421,565116,TE
A_H3,A_H3,A_H3,D03,Standard,H,HBHw3,XT,XT,200ng,Human wastewater,32341873,439131,TE
A_H4,A_H4,A_H4,A04,Standard,H,HBHw4,XT,XT,200ng,Human wastewater,26429444,340853,TE
A_H5,A_H5,A_H5,A07,Standard,H,HBHw1,XT,XT,400ng,Human wastewater,30404299,599836,TE
A_H6,A_H6,A_H6,D07,Standard,H,HBHw2,XT,XT,400ng,Human wastewater,34862846,622430,TE
A_H7,A_H7,A_H7,G07,1:2 dilution,H,HBHw3,XT,XT,400ng,Human wastewater,31171489,442359,TE
A_H8,A_H8,A_H8,H07,Standard,H,HBHw4,XT,XT,400ng,Human wastewater,29442422,486154,TE
A_H9,A_H9,A_H9,G09,Standard,H,HBHw1,XT,XT,800ng,Human wastewater,37522426,687034,TE
A_P1,A_P1,A_P1,D02,1:3 dilution,P,PFe13,XT,XT,200ng,Porcine fecal,28241930,1036079,TE
A_P10,A_P10,A_P10,D09,1:5 dilution,P,PFe16,XT,XT,800ng,Porcine fecal,28508540,1274330,TE
A_P11,A_P11,A_P11,E09,1:3 dilution,P,PFe22,XT,XT,800ng,Porcine fecal,31899139,1194077,TE
A_P12,A_P12,A_P12,F09,1:5 dilution,P,PFe37,XT,XT,800ng,Porcine fecal,28207352,1235865,TE
A_P13,A_P13,A_P13,A02,1:2 dilution,P,PFe13,XT_HS,XT HS,200ng,Porcine fecal,28411743,1036439,TE
A_P14,A_P14,A_P14,B02,Standard,P,PFe16,XT_HS,XT HS,200ng,Porcine fecal,40597737,1208035,TE
A_P15,A_P15,A_P15,C02,Standard,P,PFe22,XT_HS,XT HS,200ng,Porcine fecal,36517449,1111351,TE
A_P16,A_P16,A_P16,D02,Standard,P,PFe37,XT_HS,XT HS,200ng,Porcine fecal,35509742,1204768,TE
A_P17,A_P17,A_P17,A04,Standard,P,PFe13,XT_HS,XT HS,400ng,Porcine fecal,35612363,1097443,TE
A_P18,A_P18,A_P18,B04,1:2 dilution,P,PFe16,XT_HS,XT HS,400ng,Porcine fecal,32060417,1173779,TE
A_P19,A_P19,A_P19,C04,Standard,P,PFe22,XT_HS,XT HS,400ng,Porcine fecal,32506145,1098663,TE
A_P2,A_P2,A_P2,E02,1:4 dilution,P,PFe16,XT,XT,200ng,Porcine fecal,27738161,1194100,TE
A_P20,A_P20,A_P20,F04,Standard,P,PFe37,XT_HS,XT HS,400ng,Porcine fecal,36267990,1226136,TE
A_P21,A_P21,A_P21,C02,Standard,P,PFe13,XT_HS,XT HS,800ng,Porcine fecal,25725436,955238,TE
A_P22,A_P22,A_P22,D02,1:2 dilution,P,PFe16,XT_HS,XT HS,800ng,Porcine fecal,22877683,1084744,TE
A_P23,A_P23,A_P23,E02,Standard,P,PFe22,XT_HS,XT HS,800ng,Porcine fecal,34719783,1091941,TE
A_P24,A_P24,A_P24,F02,Standard,P,PFe37,XT_HS,XT HS,800ng,Porcine fecal,32034799,1207804,TE
A_P3,A_P3,A_P3,G02,1:4 dilution,P,PFe22,XT,XT,200ng,Porcine fecal,25263146,1040759,TE
A_P4,A_P4,A_P4,H02,1:3 dilution,P,PFe37,XT,XT,200ng,Porcine fecal,24418846,1091861,TE
A_P5,A_P5,A_P5,B06,1:5 dilution,P,PFe13,XT,XT,400ng,Porcine fecal,29907699,1116746,TE
A_P6,A_P6,A_P6,C06,1:5 dilution,P,PFe16,XT,XT,400ng,Porcine fecal,31423286,1246572,TE
A_P7,A_P7,A_P7,D06,1:5 dilution,P,PFe22,XT,XT,400ng,Porcine fecal,27466170,1105943,TE
A_P8,A_P8,A_P8,H06,1:5 dilution,P,PFe37,XT,XT,400ng,Porcine fecal,37097903,1236983,TE
A_P9,A_P9,A_P9,C09,1:3 dilution,P,PFe13,XT,XT,800ng,Porcine fecal,28579193,1230056,TE
PT019D1T0,PT019D1T0,PT019D1T0,,Standard,D,PT019D1T0,XT_HS2,XT HS2,200ng,Canine fecal,24382527,328862,TE
PT019D1T0B,PT019D1T0B,PT019D1T0B,,Standard,D,PT019D1T0,XT_HS2,XT HS2,50ng,Canine fecal,18379864,325933,TE
PT024D1T0,PT024D1T0,PT024D1T0,,Standard,D,PT024D1T0,XT_HS2,XT HS2,200ng,Canine fecal,21666303,358685,TE
PT024D1T0B,PT024D1T0B,PT024D1T0B,,Standard,D,PT024D1T0,XT_HS2,XT HS2,50ng,Canine fecal,33957093,413456,TE
PT046D1T0,PT046D1T0,PT046D1T0,,Standard,D,PT046D1T0,XT_HS2,XT HS2,200ng,Canine fecal,84553202,345982,TE
PT046D1T0B,PT046D1T0B,PT046D1T0B,,Standard,D,PT046D1T0,XT_HS2,XT HS2,50ng,Canine fecal,44919975,310410,TE
PT050D1T0,PT050D1T0,PT050D1T0,,Standard,D,PT050D1T0,XT_HS2,XT HS2,200ng,Canine fecal,36606920,233147,TE
PT050D1T0B,PT050D1T0B,PT050D1T0B,,Standard,D,PT050D1T0,XT_HS2,XT HS2,50ng,Canine fecal,32188586,220376,TE
UK008D1T0,UK008D1T0,UK008D1T0,,Standard,D,UK008D1T0,XT_HS2,XT HS2,200ng,Canine fecal,25304040,512029,TE
UK008D1T0B,UK008D1T0B,UK008D1T0B,,Standard,D,UK008D1T0,XT_HS2,XT HS2,50ng,Canine fecal,30567118,620260,TE
UK014D1T0,UK014D1T0,UK014D1T0,,Standard,D,UK014D1T0,XT_HS2,XT HS2,200ng,Canine fecal,34310877,350177,TE
UK014D1T0B,UK014D1T0B,UK014D1T0B,,Standard,D,UK014D1T0,XT_HS2,XT HS2,50ng,Canine fecal,33612333,368521,TE
UK036D1T0,UK036D1T0,UK036D1T0,,Standard,D,UK036D1T0,XT_HS2,XT HS2,200ng,Canine fecal,22254608,140145,TE
UK036D1T0B,UK036D1T0B,UK036D1T0B,,Standard,D,UK036D1T0,XT_HS2,XT HS2,50ng,Canine fecal,15250467,127467,TE
UK047D1T0,UK047D1T0,UK047D1T0,,Standard,D,UK047D1T0,XT_HS2,XT HS2,200ng,Canine fecal,27834028,273512,TE
UK047D1T0B,UK047D1T0B,UK047D1T0B,,Standard,D,UK047D1T0,XT_HS2,XT HS2,50ng,Canine fecal,22841496,251019,TE
