gene_accession,SRR4425689,SRR4425688,SRR4425691,SRR4425695,SRR4425683,SRR4425690,SRR4425694,SRR4425656,SRR4425684,SRR4425696,SRR4425681,SRR4425685,SRR4425692,SRR4425687,SRR4425686,SRR4425682
MEG_6133|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,0,358.0,0,0,0,655.0,0,0,655.0,0,0,684.0,0
MEG_6627|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0
MEG_987|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0,0,0,0,569.0,0,0,0,76.0,0,442.0,162.0,0,0,356.0,594.0
MEG_3609|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUB,0,0,34.0,264.0,222.0,0,84.0,125.0,237.0,401.0,702.0,210.0,54.0,0,976.0,932.0
MEG_406|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,0,0,0,127.0,289.0,0,0,0,312.0,137.0,138.0,135.0,0,0,789.0,256.0
MEG_3606|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA,64.0,79.0,0,122.0,739.0,207.0,0,0,34.0,585.0,316.0,414.0,0,251.0,269.0,822.0
MEG_2455|Metals|Copper_resistance|Copper_resistance_protein|CUTC,0,0,0,37.0,77.0,0,0,0,76.0,47.0,31.0,0,0,0,214.0,70.0
MEG_2446|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSA,0,0,0,433.0,823.0,88.0,0,0,969.0,407.0,425.0,365.0,0,0,2324.0,579.0
MEG_7124|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,0,0,0,157.0,0,0,0,115.0,0,0,318.0,0,0,576.0,0
MEG_2820|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,0,0,0,0,107.0,0,0,0,144.0,0,0,179.0,0,0,190.0,0
MEG_6609|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,0,0,0,0,0,0,0,0,0,22.0,0,0,0,0
MEG_7833|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YHCN,0,7.0,0,36.0,76.0,4.0,0,0,154.0,53.0,49.0,40.0,0,0,275.0,94.0
MEG_3648|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LSAE,0,0,49.0,436.0,309.0,0,137.0,181.0,355.0,703.0,918.0,368.0,82.0,0,1588.0,1422.0
MEG_3083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX,0,12.0,0,140.0,292.0,27.0,0,0,362.0,215.0,195.0,178.0,0,0,910.0,311.0
MEG_8083|Drugs|MLS|23S_rRNA_methyltransferases|ERM52,0,0,0,0,153.0,0,0,0,0,0,0,68.0,0,0,87.0,17.0
MEG_1680|Drugs|MLS|23S_rRNA_methyltransferases|CFR,72.0,144.0,0,120.0,0,448.0,0,0,0,289.0,282.0,93.0,0,440.0,0,354.0
MEG_4175|Metals|Nickel_resistance|Nickel_ABC_efflux_regulator|NIKR,0,2.0,0,0,0,6.0,0,0,0,13.0,0,4.0,0,0,41.0,20.0
MEG_45|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0,0,0,0,22.0,0,0,0,0,0,0,0,0,0,26.0,0
MEG_3187|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,0,0,93.0,313.0,113.0,0,0,194.0,271.0,158.0,92.0,0,0,1078.0,303.0
MEG_986|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0,0,0,384.0,219.0,73.0,0,0,92.0,1013.0,1131.0,115.0,0,17.0,288.0,1287.0
MEG_2867|Biocides|Acid_resistance|Acid_resistance_regulator|EVGA,0,11.0,0,67.0,155.0,11.0,0,0,77.0,92.0,108.0,90.0,0,8.0,584.0,150.0
MEG_7813|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YCHH,0,5.0,0,28.0,59.0,0,0,0,94.0,46.0,51.0,36.0,0,0,222.0,76.0
MEG_3738|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA,0,0,0,38.0,80.0,0,0,0,116.0,55.0,56.0,66.0,0,0,323.0,95.0
MEG_6652|Metals|Copper_resistance|Copper_resistance_protein|TCRB,0,0,0,0,5301.0,0,0,0,12019.0,438.0,469.0,9341.0,0,0,8005.0,953.0
MEG_1281|Drugs|betalactams|Class_C_betalactamases|BLAEC,0,0,0,0,25.0,0,0,0,0,13.0,26.0,0,0,0,50.0,0
MEG_3538|Drugs|betalactams|Class_D_betalactamases|LCR,0,0,0,0,0,0,10.0,0,0,0,0,0,13.0,0,0,0
MEG_2772|Drugs|MLS|23S_rRNA_methyltransferases|ERM,0,0,0,0,0,21.0,0,0,0,17.0,54.0,0,0,18.0,0,0
MEG_8288|Drugs|betalactams|Mutant_porin_proteins|OMPA,0,0,0,117.0,250.0,0,0,0,274.0,104.0,102.0,102.0,0,0,631.0,183.0
MEG_3842|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,0,0,153.0,0,0,0,249.0,216.0,0,0,0,0,332.0,0,0,0
MEG_3857|Metals|Mercury_resistance|Mercury_resistance_protein|MERC,0,0,0,17.0,0,0,0,0,162.0,42.0,18.0,22.0,0,0,32.0,11.0
MEG_6503|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILE,0,0,0,10.0,75.0,0,0,0,31.0,74.0,28.0,21.0,0,0,162.0,60.0
MEG_2818|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,0,0,0,0,483.0,0,0,0,600.0,0,0,733.0,0,0,840.0,0
MEG_7314|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0,0,903.0,0,435.0,0,1397.0,1403.0,0,972.0,691.0,284.0,1614.0,790.0,250.0,886.0
MEG_5371|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,1338.0,0,0,0,0,1379.0
MEG_395|Drugs|betalactams|Class_A_betalactamases|ACI,30.0,106.0,0,129.0,0,355.0,0,0,0,525.0,443.0,0,0,429.0,0,927.0
MEG_7164|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,70.0,157.0,0,188.0,97.0,334.0,0,0,0,692.0,643.0,0,0,295.0,0,725.0
MEG_7216|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,146.0,136.0,0,471.0,391.0,507.0,0,0,222.0,998.0,832.0,494.0,0,456.0,505.0,963.0
MEG_6625|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0,0,0,10.0,0,0,0,0,0,0,0,8.0,0,0,29.0,0
MEG_7169|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,0,0,0,348.0,142.0,161.0,0,0,91.0,664.0,634.0,181.0,0,183.0,239.0,718.0
MEG_8700|Multi-compount|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|SITABCD,0,0,0,0,740.0,0,0,0,2470.0,0,91.0,678.0,0,0,1172.0,96.0
MEG_6955|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERB,0,0,0,0,18.0,0,0,0,0,0,0,0,0,0,0,0
MEG_8100|Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation,0,0,0,0,2974.0,0,0,0,4745.0,0,1284.0,5112.0,0,0,6085.0,1668.0
