gene_accession,SRR4425689,SRR4425695,SRR4425691,SRR4425688,SRR4425683,SRR4425684,SRR4425690,SRR4425694,SRR4425656,SRR4425696,SRR4425681,SRR4425685,SRR4425692,SRR4425687,SRR4425686,SRR4425682
MEG_1082|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH4,0.0,0.0,0.0,0.0,24.0,56.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,27.0,0.0
MEG_7212|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,114.0,482.0,0.0,115.0,286.0,180.0,400.0,0.0,0.0,1080.0,885.0,456.0,0.0,382.0,498.0,1188.0
MEG_6138|Drugs|Glycopeptides|Vancomycin-resistant_mutation|RPOC|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MEG_2795|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0.0,197.0,0.0,0.0,208.0,274.0,0.0,0.0,0.0,321.0,429.0,385.0,0.0,0.0,276.0,512.0
MEG_2909|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FIEF,0.0,122.0,0.0,0.0,384.0,505.0,25.0,0.0,0.0,218.0,161.0,184.0,0.0,0.0,1006.0,273.0
MEG_5801|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|PMRF,0.0,121.0,0.0,0.0,257.0,345.0,14.0,0.0,0.0,147.0,109.0,149.0,0.0,0.0,801.0,225.0
MEG_4170|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKC,0.0,178.0,0.0,12.0,188.0,356.0,15.0,0.0,0.0,147.0,137.0,146.0,0.0,8.0,675.0,193.0
MEG_7856|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA,0.0,73.0,0.0,0.0,153.0,173.0,0.0,0.0,0.0,84.0,67.0,63.0,0.0,0.0,441.0,140.0
MEG_7857|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,0.0,6.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,7.0,6.0,8.0,0.0,0.0,41.0,6.0
MEG_6580|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
MEG_1558|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
MEG_3830|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFE,223.0,366.0,0.0,335.0,1660.0,86.0,565.0,0.0,0.0,1164.0,725.0,864.0,0.0,831.0,591.0,1840.0
MEG_5178|Drugs|betalactams|Class_D_betalactamases|OXA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
MEG_1057|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
MEG_2449|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,0.0,39.0,0.0,0.0,168.0,257.0,0.0,0.0,0.0,0.0,40.0,74.0,0.0,0.0,345.0,0.0
MEG_3746|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTA,0.0,129.0,0.0,0.0,284.0,394.0,0.0,0.0,0.0,135.0,126.0,128.0,0.0,0.0,880.0,200.0
MEG_65|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0.0,0.0,0.0,0.0,46.0,150.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,157.0,0.0
MEG_7065|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG_7314|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0.0,0.0,117.0,0.0,53.0,0.0,0.0,191.0,198.0,90.0,74.0,23.0,227.0,56.0,31.0,84.0
MEG_7202|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETT,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0
MEG_3892|Metals|Mercury_resistance|Mercury_resistance_protein|MERT,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
MEG_2679|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,32.0,0.0
MEG_2753|Drugs|MLS|Macrolide_esterases|EREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0
MEG_7135|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,117.0,0.0
MEG_3641|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,0.0,1240.0,163.0,0.0,959.0,979.0,0.0,393.0,618.0,2231.0,3295.0,1065.0,286.0,0.0,4543.0,4408.0
MEG_2802|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0
MEG_3538|Drugs|betalactams|Class_D_betalactamases|LCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
MEG_986|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0.0,384.0,0.0,0.0,219.0,92.0,73.0,0.0,0.0,1013.0,1131.0,115.0,0.0,17.0,288.0,1287.0
MEG_4174|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKE,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,34.0,32.0,35.0,0.0,0.0,150.0,42.0
MEG_3990|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
MEG_4009|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC,0.0,55.0,0.0,0.0,77.0,107.0,0.0,0.0,0.0,31.0,33.0,37.0,0.0,0.0,207.0,51.0
MEG_1096|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,31.0,0.0
MEG_5781|Drugs|Phenicol|Phenicol-resistant_23S_rRNA_mutation|PH23S|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
MEG_6510|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|SILS,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,259.0,0.0
MEG_2954|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
MEG_1785|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMX,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
