gene_accession,SRR4425689,SRR4425688,SRR4425691,SRR4425695,SRR4425683,SRR4425690,SRR4425694,SRR4425684,SRR4425656,SRR4425696,SRR4425681,SRR4425685,SRR4425692,SRR4425687,SRR4425686,SRR4425682
MEG_7230|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,99.0,90.0,0,290.0,346.0,325.0,0,116.0,0,634.0,468.0,298.0,0,342.0,412.0,620.0
MEG_7851|Metals|Zinc_resistance|Zinc_resistance_protein|ZITB,0,0,0,98.0,222.0,23.0,0,261.0,0,106.0,105.0,100.0,0,0,537.0,142.0
MEG_5801|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|PMRF,0,0,0,108.0,187.0,14.0,0,269.0,0,123.0,99.0,125.0,0,0,569.0,197.0
MEG_2847|Drugs|MLS|23S_rRNA_methyltransferases|ERMT,0,0,0,0,127.0,0,0,275.0,0,0,0,251.0,0,0,233.0,0
MEG_1705|Metals|Chromium_resistance|Chromium_resistance_protein|CHRA,0,0,18.0,0,0,0,49.0,0,42.0,0,0,0,82.0,0,0,0
MEG_2964|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0,0,0,0,16.0,0,20.0,31.0,0,0,0,26.0,0,0,0,0
MEG_5333|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,0,0,78.0,152.0,0,0,123.0,0,121.0,83.0,73.0,0,0,461.0,133.0
MEG_1149|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,0,0,0,0,516.0,0,0,425.0,0,0,0,522.0,0,0,543.0,0
MEG_6139|Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOCL|RequiresSNPConfirmation,0,0,0,0,1508.0,0,0,1433.0,0,0,0,1648.0,0,0,1999.0,0
MEG_7263|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,0,0,0,66.0,151.0,0,0,233.0,0,68.0,85.0,73.0,0,0,418.0,163.0
MEG_2909|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FIEF,0,0,0,111.0,292.0,22.0,0,367.0,0,175.0,144.0,146.0,0,0,633.0,230.0
MEG_6142|Drugs|Mycobacterium_tuberculosis-specific_Drug|Pyrazinamide-resistant_mutant|RPSA|RequiresSNPConfirmation,0,0,143.0,0,525.0,0,199.0,844.0,203.0,0,0,850.0,243.0,0,579.0,0
MEG_5416|Metals|Copper_resistance|Copper_resistance_protein|PCOA,0,0,0,0,239.0,0,0,90.0,0,154.0,111.0,68.0,0,0,500.0,134.0
MEG_7623|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATC,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,0
MEG_7833|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YHCN,0,5.0,0,26.0,51.0,4.0,0,83.0,0,40.0,33.0,36.0,0,0,151.0,56.0
MEG_1694|Drugs|betalactams|Class_A_betalactamases|CFX,0,0,0,12.0,0,0,0,0,0,42.0,35.0,0,0,78.0,0,59.0
MEG_6505|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILF,0,0,0,0,15.0,0,0,6.0,0,19.0,0,0,0,0,34.0,0
MEG_1162|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM,0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,42.0,0
