SampleID,Type,Dilution,Kit,InputDNA,SampleGroup,Raw_reads,AMR_hits,Observed,Shannon,Simpson,InvSimpson
A_H17,TE,Standard,XT HS,400ng,Human wastewater,29241158,605189,424,4.071032654,0.963101382,27.10128622
A_H18,TE,Standard,XT HS,400ng,Human wastewater,31705686,646598,406,4.07099765,0.963681345,27.53405899
A_H19,TE,Standard,XT HS,400ng,Human wastewater,24512331,553009,434,4.158790251,0.966756515,30.08108228
A_H2,TE,Standard,XT,200ng,Human wastewater,31603031,450470,409,4.112524159,0.964723752,28.34768561
A_H20,TE,Standard,XT HS,400ng,Human wastewater,26674893,576113,409,4.067649868,0.96374649,27.58353595
A_H21,TE,Standard,XT HS,800ng,Human wastewater,26384858,571726,399,4.087828387,0.964523916,28.18800367
A_H22,TE,Standard,XT HS,800ng,Human wastewater,22794458,569493,409,4.129515691,0.965792148,29.23305447
A_H23,TE,Standard,XT HS,800ng,Human wastewater,24321730,584264,397,4.150179136,0.96548485,28.97278457
A_H24,TE,Standard,XT HS,800ng,Human wastewater,25831421,565116,415,4.147041014,0.967364738,30.64170327
A_H3,TE,Standard,XT,200ng,Human wastewater,32341873,439131,400,4.172036785,0.968159655,31.40669502
A_H4,TE,Standard,XT,200ng,Human wastewater,26429444,340853,381,4.210323145,0.969041622,32.30143369
A_H5,TE,Standard,XT,400ng,Human wastewater,30404299,599836,457,4.184111397,0.966889714,30.20209518
A_H6,TE,Standard,XT,400ng,Human wastewater,34862846,622430,463,4.175448912,0.966164795,29.55501489
A_H7,TE,1:2 dilution,XT,400ng,Human wastewater,31171489,442359,429,4.221054536,0.96942997,32.71177703
A_H8,TE,Standard,XT,400ng,Human wastewater,29442422,486154,425,4.202870458,0.968285733,31.53155024
A_H9,TE,Standard,XT,800ng,Human wastewater,37522426,687034,488,4.234335183,0.967176924,30.46637026
A_P1,TE,1:3 dilution,XT,200ng,Porcine fecal,28241930,1036079,376,4.765328598,0.977304091,44.06080337
A_P10,TE,1:5 dilution,XT,800ng,Porcine fecal,28508540,1274330,372,4.687161502,0.972229742,36.00974841
A_P11,TE,1:3 dilution,XT,800ng,Porcine fecal,31899139,1194077,368,4.706270558,0.973698367,38.02045248
A_P12,TE,1:5 dilution,XT,800ng,Porcine fecal,28207352,1235865,341,4.655649237,0.97161053,35.22432748
A_P13,TE,1:2 dilution,XT HS,200ng,Porcine fecal,28411743,1036439,346,4.697137334,0.975402595,40.65469535
A_P14,TE,Standard,XT HS,200ng,Porcine fecal,40597737,1208035,347,4.62347036,0.970187976,33.54351208
A_P15,TE,Standard,XT HS,200ng,Porcine fecal,36517449,1111351,347,4.659607192,0.972969971,36.99589121
A_P16,TE,Standard,XT HS,200ng,Porcine fecal,35509742,1204768,349,4.664855479,0.972841454,36.82082309
A_P17,TE,Standard,XT HS,400ng,Porcine fecal,35612363,1097443,340,4.710276185,0.975742359,41.22412392
A_P18,TE,1:2 dilution,XT HS,400ng,Porcine fecal,32060417,1173779,352,4.626487799,0.970235592,33.59717403
A_P19,TE,Standard,XT HS,400ng,Porcine fecal,32506145,1098663,353,4.640156665,0.970688168,34.11591566
A_P2,TE,1:4 dilution,XT,200ng,Porcine fecal,27738161,1194100,356,4.666719729,0.973415195,37.61547226
A_P20,TE,Standard,XT HS,400ng,Porcine fecal,36267990,1226136,327,4.619096221,0.970100132,33.44496397
A_P21,TE,Standard,XT HS,800ng,Porcine fecal,25725436,955238,329,4.720676523,0.97572129,41.18834978
A_P22,TE,1:2 dilution,XT HS,800ng,Porcine fecal,22877683,1084744,347,4.64176398,0.971077637,34.57532175
A_P23,TE,Standard,XT HS,800ng,Porcine fecal,34719783,1091941,347,4.672804196,0.973847866,38.23779694
A_P24,TE,Standard,XT HS,800ng,Porcine fecal,32034799,1207804,362,4.726611214,0.975986881,41.64390309
A_P3,TE,1:4 dilution,XT,200ng,Porcine fecal,25263146,1040759,356,4.590676858,0.96834174,31.58733314
A_P4,TE,1:3 dilution,XT,200ng,Porcine fecal,24418846,1091861,347,4.642322184,0.970966001,34.44237967
A_P5,TE,1:5 dilution,XT,400ng,Porcine fecal,29907699,1116746,366,4.686937787,0.972933829,36.94648984
A_P6,TE,1:5 dilution,XT,400ng,Porcine fecal,31423286,1246572,370,4.742569779,0.976357959,42.29753189
A_P7,TE,1:5 dilution,XT,400ng,Porcine fecal,27466170,1105943,363,4.634898065,0.9700994,33.44414495
